,electricity,natural_gas,fuel_oil,vehicle_miles,housing_fp,county_total_fp
477,15132.0,38304.0,1,20034,13.8,166473
478,13222.0,39046.0,0,23363,12.7,390544
479,13243.0,40411.0,2,19657,12.9,185097
480,14011.0,32625.0,,21632,12.8,209396
481,13890.0,33048.0,,22866,12.7,285545
482,13955.0,35694.0,1,24588,13.2,465577
483,14485.0,33628.0,2,27377,13.2,1107207
484,12641.0,31793.0,1,26739,13.4,295565
485,11980.0,29176.0,2,23280,11.4,312708
486,14046.0,34964.0,1,21085,12.9,778605
487,13660.0,43818.0,1,19487,13.3,952418
488,12932.0,38236.0,1,18472,12.5,200545
489,12334.0,28207.0,1,23107,11.4,194654
490,13914.0,37014.0,0,21812,13.0,218980
491,11551.0,24962.0,2,24341,10.8,175652
492,14372.0,41241.0,1,20778,13.6,614354
493,13263.0,27300.0,0,26871,12.0,236917
494,13954.0,45404.0,2,17504,13.6,457262
495,13307.0,33269.0,,23258,12.4,223474
496,13589.0,37502.0,1,22669,12.8,502905
497,12706.0,30717.0,2,22879,11.9,400837
498,13216.0,35084.0,1,24091,12.5,1075989
499,13675.0,35254.0,1,22278,12.7,185538
500,13831.0,42601.0,1,20502,13.3,7240541
501,12866.0,36221.0,1,23522,12.4,341783
502,14954.0,39703.0,0,26797,13.8,1675573
503,13000.0,31218.0,1,24028,12.1,230230
504,11060.0,24879.0,1,23207,10.6,180336
505,13489.0,39877.0,0,21583,16.0,2309352
506,13721.0,31322.0,0,24803,15.2,316984
507,11611.0,26906.0,0,22053,11.0,443966
508,11833.0,26930.0,4,22738,11.2,210827
509,14098.0,41511.0,0,20533,13.4,871649
510,12415.0,28436.0,2,22405,11.5,391306
511,12852.0,40740.0,0,22960,16.8,3309938
512,13621.0,33206.0,1,24126,12.6,1334268
513,13906.0,36762.0,3,20021,13.0,172887
514,13171.0,31963.0,0,24189,12.2,429502
515,6451.0,41100.0,0,23207,7.9,25152537
516,5746.0,26728.0,25,21661,7.4,41084
517,7062.0,32277.0,3,27349,7.7,672295
518,6509.0,41843.0,2,22850,8.0,3452327
519,6941.0,28068.0,8,27982,7.5,1015913
520,7267.0,41073.0,5,25850,8.3,320066
521,7631.0,44893.0,1,27079,8.8,18099044
522,4797.0,28599.0,86,21241,7.9,406943
523,7162.0,38921.0,8,29463,8.5,3538066
524,7437.0,41302.0,1,21538,8.3,11602614
525,6908.0,39562.0,6,25960,8.1,440311
526,5751.0,42241.0,8,21799,7.8,2183784
527,9065.0,36340.0,0,23311,11.1,2001124
528,5782.0,31406.0,21,24327,7.3,383655
529,8410.0,40609.0,0,22564,8.6,10096588
530,7982.0,42125.0,0,22744,8.6,1579700
531,4969.0,26853.0,99,21344,7.6,1239871
532,5465.0,26572.0,137,24270,8.4,589167
533,12766.0,38967.0,58,32723,16.9,1073699
534,12055.0,41612.0,17,28316,16.0,550787
535,11266.0,55360.0,10,23137,16.0,2469125
536,13298.0,43997.0,13,29463,17.1,881155
537,13046.0,65616.0,10,24665,18.3,3831886
538,11455.0,52888.0,41,25902,16.4,570768
539,12111.0,44270.0,14,26645,16.2,1516219
540,12223.0,45628.0,31,29119,16.6,478820
541,11446.0,29579.0,87,32154,15.5,365159
542,12318.0,51510.0,26,26489,17.0,456924
543,12730.0,46468.0,16,27733,16.7,750430
544,11399.0,54115.0,16,24020,16.2,1507503
545,11783.0,43480.0,26,27267,15.9,762939
546,15170.0,57642.0,15,29895,20.0,29565368
547,14217.0,56959.0,17,32285,18.9,1327061
548,12214.0,29625.0,27,33627,15.4,798483
549,13386.0,51067.0,25,31475,17.9,2155675
550,12196.0,54319.0,32,28001,17.1,1125003
551,12357.0,62289.0,5,23477,17.4,1981975
552,12310.0,51742.0,35,27832,17.2,863099
553,11421.0,37796.0,27,27304,15.2,929493
554,13337.0,52761.0,11,31924,17.8,718039
555,11692.0,47570.0,24,27784,16.2,496140
556,11007.0,35234.0,24,25136,14.7,641084
557,10887.0,27933.0,46,28930,14.3,568137
558,13389.0,56171.0,7,28772,17.9,2772747
559,11900.0,50614.0,10,23114,16.2,837564
560,13026.0,57886.0,10,25444,17.8,1697017
561,12574.0,71606.0,5,22568,18.1,10353645
562,11461.0,40011.0,11,26476,15.2,1066344
563,11947.0,61097.0,11,24788,17.0,2950066
